Field,ID,Type (Type),default,en-us,ja,zh-hans,zh-hant
Description,2,Text,,"# Intro

This application is text string encode and decode tool.

## Features

1. URL encode/decode
1. BASE64 encode/decode
1. Raw bytes like \x0d\x0a encode/decode
1. encode small image to base64 string or decode image from base64 string
1. text to QR code, or decode QR code from clipboard image
1. text to some 1D barcode, or decode content from clipboard image
1. rename file or folder name to specified oem charset (UTF8, GBK, BIG5, SHIFT-JIS, ASCII, UNICODE)
1. convert text file content from source charset to target charset (UTF8, GBK, BIG5, SHIFT-JIS, ASCII, UNICODE)","これはテキスト文字列のエンコードとデコードのための小さなツールで、結果をクリップボードからクリップボード/ペーストにコピーし、テキストや生成されたイメージを共有することもできます。

1. URLエンコード/デコード
2. BASE64符号化/復号化
3. 生のバイト、\ x0d \ x0aのような文字列の内容のエンコード/デコード
4. 小さな画像をbase64文字列としてエンコードするか、BASE64文字列から画像をデコードする
5. テキストをQRコードに、またはQR QRコードをクリップボードから
6. いくつかの1Dバーコードへのテキスト、またはクリップボードからのコンテンツのデコード
7. ファイル名またはフォルダ名を指定されたOEM文字セットに変更します（現在、UTF8、GBK、BIG5、SHIFT-JIS、ASCII、UNICODEをサポートしています）
8. ソース・キャラクタ・セットからターゲット・キャラクタ・セットへのテキスト・ファイル・コンテンツの変換（現在はUTF8、GBK、BIG5、SHIFT-JIS、ASCII、UNICODEをサポートしています）","这是一个用于文本字符串编码和解码小工具, 可以复制结果到剪贴板/从剪贴板粘贴以及共享文本或生成的图片.

1. URL编码/解码
2. BASE64编码/解码
3. 原始字节，如\x0d\x0a这样的字符串内容的编码/解码
4. 将小图像编码为base64字符串或从BASE64 字符串解码图像
5. 文本到QR码，或从剪贴板图像解码QR二维码
6. 文本到一些一维条形码，或从剪贴板图像解码内容
7. 将文件或文件夹名称重命名为指定的 OEM 字符集（现支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）
8. 将文本文件内容从源字符集转换为目标字符集（现支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）","這是一個用於文本字符串編碼和解碼小工具。備註: 截圖和簡體中文沒什麼區別, 就不重複上傳了.

1. URL編碼/解碼
2. BASE64編碼/解碼
3. 原始字節，如\x0d\x0a這樣的字符串內容的編碼/解碼
4. 將小圖像編碼為base64字符串或從BASE64 字符串解碼圖像
5. 文本到QR碼，或從剪貼板圖像解碼QR二維碼
6. 文本到一些一維條形碼，或從剪貼板圖像解碼內容
7. 將檔案或檔案夾名稱重命名為指定的 OEM 字符集（現支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）
8. 將文本檔案內容從源字符集轉換為目標字符集（現支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）"
ReleaseNotes,3,Text,,,表示される日本語のテキストのほとんどはMicrosoft機械翻訳によるものですので、ご迷惑をおかけしてください。,,
Title,4,Text,,StringCodec,テキストコーデック,文本编码解码工具,文本編碼解碼工具
ShortTitle,5,Text,,,,,
SortTitle,6,Text,,,,,
VoiceTitle,7,Text,,,,,
ShortDescription,8,Text,,,,,
DevStudio,9,Text,,,,,
CopyrightTrademarkInformation,12,Text,,,,,
AdditionalLicenseTerms,13,Text,,,,,
