Field	ID	Type (Type)	default	en-us	ja	zh-hans	zh-hant
Description	2	Text		"# Intro

This application is text string encode and decode tool.

## Features

1. URL encode/decode
1. BASE64 encode/decode
1. Raw bytes like \x0d\x0a encode/decode
1. encode small image to base64 string or decode image from base64 string
1. text to QR code, or decode QR code from clipboard image
1. text to some 1D barcode, or decode content from clipboard image
1. rename file or folder name to specified oem charset (UTF8, GBK, BIG5, SHIFT-JIS, ASCII, UNICODE)
1. convert text file content from source charset to target charset (UTF8, GBK, BIG5, SHIFT-JIS, ASCII, UNICODE)"	"これはテキスト文字列のエンコードとデコードのための小さなツールで、結果をクリップボードからクリップボード/ペーストにコピーし、テキストや生成されたイメージを共有することもできます。

1. URLエンコード/デコード
2. BASE64符号化/復号化
3. 生のバイト、\ x0d \ x0aのような文字列の内容のエンコード/デコード
4. 小さな画像をbase64文字列としてエンコードするか、BASE64文字列から画像をデコードする
5. テキストをQRコードに、またはQR QRコードをクリップボードから
6. いくつかの1Dバーコードへのテキスト、またはクリップボードからのコンテンツのデコード
7. ファイル名またはフォルダ名を指定されたOEM文字セットに変更します（現在、UTF8、GBK、BIG5、SHIFT-JIS、ASCII、UNICODEをサポートしています）
8. ソース?キャラクタ?セットからターゲット?キャラクタ?セットへのテキスト?ファイル?コンテンツの変換（現在はUTF8、GBK、BIG5、SHIFT-JIS、ASCII、UNICODEをサポートしています）"	"这是一个用于文本字符串编码和解码小工具, 可以复制结果到剪贴板/从剪贴板粘贴以及共享文本或生成的图片.

1. URL编码/解码
2. BASE64编码/解码
3. 原始字节，如\x0d\x0a这样的字符串内容的编码/解码
4. 将小图像编码为base64字符串或从BASE64 字符串解码图像
5. 文本到QR码，或从剪贴板图像解码QR二维码
6. 文本到一些一维条形码，或从剪贴板图像解码内容
7. 将文件或文件夹名称重命名为指定的 OEM 字符集（现支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）
8. 将文本文件内容从源字符集转换为目标字符集（现支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）"	"這是一個用於文本字符串編碼和解碼小工具。備註: 截圖和簡體中文沒什麼區別, 就不重複上傳了.

1. URL編碼/解碼
2. BASE64編碼/解碼
3. 原始字節，如\x0d\x0a這樣的字符串內容的編碼/解碼
4. 將小圖像編碼為base64字符串或從BASE64 字符串解碼圖像
5. 文本到QR碼，或從剪貼板圖像解碼QR二維碼
6. 文本到一些一維條形碼，或從剪貼板圖像解碼內容
7. 將檔案或檔案夾名稱重命名為指定的 OEM 字符集（現支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）
8. 將文本檔案內容從源字符集轉換為目標字符集（現支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE）"
ReleaseNotes	3	Text		"1. Fixed more bugs
2. Add more text/file codepage can decode/encode
3. Add simple svg support for create windows icon bitmap series
4. Change file/folder treeview behavior, such as expand fetch content, right click item can rename/convert, need not selected first.
5. Optimized some UI layout"	"表示される日本語のテキストのほとんどはMicrosoft機械翻訳によるものですので、ご迷惑をおかけしてください。

1.いくつかのバグを修正する
2.デコード/より多くのテキスト/ファイルコードページのエンコードをサポートする
3. Windowsアイコンを作成するために使用できる一連のビットマップである単純なSVGサポートを追加する
4.そのようなファイル/サブディレクトリのリストを含むディレクトリを展開取得時のように、行動のファイル/フォルダツリービューを変更し、パフォーマンスを向上させるために。今変換する/名前を変更することができますプロジェクトを直接右クリックして、あなたは彼らができる前にチェックする必要はありません。
5.いくつかのUIレイアウトを最適化する"	"1. 修复若干错误
2. 支持解码/编码更多的文本/文件代码页
3. 添加简单的SVG支持, 可以用来创建Windows图标所需的系列位图
4. 改变文件/文件夹的树视图的行为, 如展开目录时才获取包含的文件/子目录列表, 以提升性能. 现在直接鼠标右击项目就可以重命名/转换,不需要先选中才可以
5. 优化一些UI布局"	"1. 修復若干錯誤
2. 支持解碼/編碼更多的文本/檔案代碼頁
3. 添加簡單的SVG支持, 可以用來創建Windows圖標所需的系列位圖
4. 改變檔案/檔案夾的樹視圖的行為, 如展開目錄時才獲取包含的檔案/子目錄列表, 以提升性能. 現在直接鼠標右擊項目就可以重命名/轉換,不需要先選中才可以
5. 優化一些UI佈局"
Title	4	Text		StringCodec	テキストコーデック	文本编码解码工具	文本編碼解碼工具
ShortTitle	5	Text					
SortTitle	6	Text					
VoiceTitle	7	Text					
ShortDescription	8	Text					
DevStudio	9	Text		netcharm	netcharm	netcharm	netcharm
CopyrightTrademarkInformation	12	Text					
AdditionalLicenseTerms	13	Text					
DesktopScreenshot1	100	Relative path (or URL to file in Dev Center)		https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118342/listingassets/2000000000017839999	https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118344/listingassets/2000000000017845202	https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118346/listingassets/2000000000017843766	https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118348/listingassets/2000000000017843164
DesktopScreenshot2	101	Relative path (or URL to file in Dev Center)		https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118342/listingassets/2000000000017840226	https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118344/listingassets/2000000000017845207	https://developer.microsoft.com/en-us/dashboard/apps/9N49BK55S2JZ/submissions/1152921505688096497/listings/1152922700001118346/listingassets/2000000000017843910	
